"","MEdarkslateblue","MEyellowgreen","MEcyan","MEmidnightblue","MEpurple","MEyellow"
"UNr11",NA,NA,NA,NA,NA,NA
"UNHmax11",NA,NA,0.475614128525456,NA,NA,-0.523345438423341
"UNiD11",NA,-0.349017549471604,NA,NA,NA,NA
"UNd11",NA,NA,NA,NA,NA,NA
"UNSTP11",NA,NA,0.477312348365895,NA,NA,-0.529324572804586
"UNr12",-0.467698285293307,0.436805112206555,NA,NA,NA,NA
"UNHmax12",NA,NA,0.576817019927394,NA,-0.593751761569824,NA
"UNiD12",NA,NA,0.522584994441437,NA,-0.540764465622639,NA
"UNd12",NA,NA,NA,0.525166218185917,-0.533842489843955,NA
"UNSTP12",NA,NA,0.573497447404846,NA,-0.587071705659139,NA
